Date,Close,prediction,sentimen
1/18/2024,41262.05859,42028.89591,negatif
1/22/2024,39507.36719,40766.03825,negatif
1/23/2024,39845.55078,39084.78525,netral
2/3/2024,42992.25,43151.36718,positif
2/4/2024,42583.58203,42713.50878,netral
2/6/2024,43084.67188,42842.57952,positif
2/9/2024,47147.19922,47009.99467,positif
2/17/2024,51662.99609,51566.00092,positif
2/18/2024,52122.54688,51713.9125,netral
2/19/2024,51779.14453,52006.16304,netral
2/20/2024,52284.875,51936.66292,netral
2/22/2024,51304.97266,51442.95689,negatif
2/24/2024,51571.10156,50961.8534,netral
2/27/2024,57085.37109,56378.15925,positif
3/2/2024,62029.84766,61898.06557,positif
3/3/2024,63167.37109,62374.59619,positif
3/8/2024,68300.09375,68569.11413,positif
3/9/2024,68498.88281,68469.65642,netral
3/11/2024,72123.90625,70398.46415,positif
3/29/2024,69892.82813,70171.2512,negatif
4/1/2024,69702.14844,70289.90344,netral
4/3/2024,65980.8125,64963.98041,negatif
4/20/2024,64994.44141,64717.20858,negatif
4/23/2024,66407.27344,66744.69216,positif
5/31/2024,67491.41406,68003.68012,positif
6/1/2024,67706.9375,67453.74522,netral
6/4/2024,70567.76563,69935.93719,positif
6/9/2024,69647.99219,69185.7964,negatif
6/10/2024,69512.28125,69633.78936,netral
6/13/2024,66756.39844,67339.15097,negatif
6/17/2024,66490.29688,66332.07091,netral
6/19/2024,64960.29688,64890.8927,negatif
6/22/2024,64252.57813,63997.48215,negatif
6/24/2024,60277.41406,61454.61173,negatif
6/25/2024,61804.64063,60668.6395,positif
6/26/2024,60811.27734,61519.56692,negatif
7/11/2024,57344.91406,58354.67627,negatif
7/13/2024,59231.95313,58847.12428,positif
7/17/2024,64118.79297,65496.12883,positif
7/30/2024,66201.01563,66012.45792,positif
8/17/2024,59478.97266,59237.12649,negatif
8/25/2024,64333.54297,64777.00344,positif
8/26/2024,62880.66016,63704.44748,negatif
8/27/2024,59504.13281,61170.33746,negatif
9/4/2024,57971.53906,57272.99441,negatif
9/11/2024,57343.17188,57283.31572,negatif
9/14/2024,60005.12109,60538.73062,positif
9/18/2024,61649.67969,60667.83103,positif
10/4/2024,62067.47656,61475.46288,netral
10/8/2024,62131.96875,62400.84129,netral
10/9/2024,60582.10156,61469.27831,negatif
10/12/2024,63193.02344,63134.45109,positif
10/17/2024,67399.83594,67350.73716,positif
10/19/2024,68362.73438,68330.98634,positif
11/2/2024,69289.27344,68973.11568,positif
11/3/2024,68741.11719,68384.59562,netral
11/5/2024,69359.5625,68789.66017,netral
11/8/2024,76545.47656,76915.5185,positif
11/16/2024,90558.47656,90850.92547,positif
12/3/2024,96002.16406,94779.28871,positif
12/4/2024,98768.53125,96767.05057,positif
12/7/2024,99923.33594,99765.27801,positif
12/8/2024,101236.0156,100404.0142,positif
12/10/2024,96675.42969,95816.77551,negatif
12/25/2024,99299.19531,98985.57178,positif
12/26/2024,95795.51563,98543.27943,negatif
